"CountryCode","SeriesCode","DESCRIPTION",
"AFG_Daykundi_AF.DK_99878_AFG033","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Daykundi_AF.DK_99878_AFG033","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Farah_AF.FH_277_AFG006","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Farah_AF.FH_277_AFG006","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Faryab_AF.FB_278_AFG007","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Faryab_AF.FB_278_AFG007","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Ghazni_AF.GZ_279_AFG008","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Ghazni_AF.GZ_279_AFG008","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Ghor_AF.GR_280_AFG009","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Ghor_AF.GR_280_AFG009","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Herat_AF.HR_282_AFG011","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Herat_AF.HR_282_AFG011","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Hilmand_AF.HM_281_AFG010","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Hilmand_AF.HM_281_AFG010","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Jawzjan_AF.JW_283_AFG012","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Jawzjan_AF.JW_283_AFG012","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kabul_AF.KB_284_AFG013","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kabul_AF.KB_284_AFG013","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kandahar_AF.KD_285_AFG014","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kandahar_AF.KD_285_AFG014","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kapisa_AF.KP_286_AFG015","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kapisa_AF.KP_286_AFG015","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Khost_AF.KT_287_AFG016","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Khost_AF.KT_287_AFG016","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kunar_AF.KR_288_AFG017","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kunar_AF.KR_288_AFG017","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kunduz_ District_3642","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Kunduz_ District_3642","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Laghman_AF.LA_290_AFG019","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Laghman_AF.LA_290_AFG019","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Logar_AF.LW_291_AFG020","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Logar_AF.LW_291_AFG020","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nangarhar_AF.NG_292_AFG021","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nangarhar_AF.NG_292_AFG021","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nimroz_AF.NM_293_AFG022","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nimroz_AF.NM_293_AFG022","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nuristan_AF.NR_294_AFG023","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Nuristan_AF.NR_294_AFG023","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Paktika_AF.PK_295_AFG024","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Paktika_AF.PK_295_AFG024","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Paktya_AF.PT_296_AFG025","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Paktya_AF.PT_296_AFG025","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Panjsher_AF.PA_99879_AFG034","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Panjsher_AF.PA_99879_AFG034","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Parwan_AF.PV_99880_AFG026","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Parwan_AF.PV_99880_AFG026","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Samangan_AF.SM_298_AFG027","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Samangan_AF.SM_298_AFG027","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Sar-e-Pul_AF.SP_299_AFG028","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Sar-e-Pul_AF.SP_299_AFG028","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Takhar_AF.TK_300_AFG029","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Takhar_AF.TK_300_AFG029","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Uruzgan_AF.OZ_99881_AFG030","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Uruzgan_AF.OZ_99881_AFG030","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Wardak_AF.VR_302_AFG031","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Wardak_AF.VR_302_AFG031","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Zabul_AF.ZB_303_AFG032","SP.POP.TOTL","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AFG_Zabul_AF.ZB_303_AFG032","SP.POP.TOTL.ZS","Data sources : Central Statistics Organization of Islamic Republic of Afghanistan; http://cso.gov.af/en/. Data for year 2005-2014 is actual data from original source. Data for 2000-2004 is extrapolation.",
"AGO_Bengo_AO.BO_398_AGO001","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Bengo_AO.BO_398_AGO001","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Benguela_AO.BG_399_AGO002","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Benguela_AO.BG_399_AGO002","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Bie_AO.BI_400_AGO003","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Bie_AO.BI_400_AGO003","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cabinda_AO.CB_401_AGO004","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cabinda_AO.CB_401_AGO004","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuando_Cubango_AO.CC_402_AGO005","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuando_Cubango_AO.CC_402_AGO005","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuanza_Norte_AO.KN_407_AGO019","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuanza_Norte_AO.KN_407_AGO019","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuanza_Sul_AO.CS_403_AGO007","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cuanza_Sul_AO.CS_403_AGO007","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cunene_AO.CU_404_AGO008","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Cunene_AO.CU_404_AGO008","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Huambo_AO.HM_405_AGO009","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Huambo_AO.HM_405_AGO009","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Huila_AO.HL_406_AGO010","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Huila_AO.HL_406_AGO010","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Luanda_AO.LU_408_AGO011","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Luanda_AO.LU_408_AGO011","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Lunda_Norte_AO.LN_409_AGO012","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Lunda_Norte_AO.LN_409_AGO012","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Lunda_Sul_AO.LS_410_AGO013","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Lunda_Sul_AO.LS_410_AGO013","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Malanje_AO.ML_411_AGO014","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Malanje_AO.ML_411_AGO014","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Moxico_AO.MX_412_AGO015","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Moxico_AO.MX_412_AGO015","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Namibe_AO.NA_413_AGO016","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Namibe_AO.NA_413_AGO016","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Uige_AO.UI_414_AGO017","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Uige_AO.UI_414_AGO017","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Zaire_AO.ZA_415_AGO018","SP.POP.TOTL","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"AGO_Zaire_AO.ZA_415_AGO018","SP.POP.TOTL.ZS","Data sources :  Instituto Nacional de Estatística de Angola; http://www.ine.gov.ao/. Data for year 2014 is actual data from original source. Data for 2000-2013 is extrapolation.",
"ALB_Berat_AL.BE_305_ALB001","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Berat_AL.BE_305_ALB001","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Diber_AL.DI_309_ALB005","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Diber_AL.DI_309_ALB005","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Durres_AL.DU_310_ALB006","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Durres_AL.DU_310_ALB006","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Elbasan_AL.EB_311_ALB007","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Elbasan_AL.EB_311_ALB007","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Fier_AL.FI_312_ALB008","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Fier_AL.FI_312_ALB008","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Gjirokaster_AL.GJ_313_ALB009","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Gjirokaster_AL.GJ_313_ALB009","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Korce_AL.KR_318_ALB014","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Korce_AL.KR_318_ALB014","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Kukes_AL.KU_321_ALB017","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Kukes_AL.KU_321_ALB017","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Lezhe_AL.LE_323_ALB019","SP.POP.TOTL","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
"ALB_Lezhe_AL.LE_323_ALB019","SP.POP.TOTL.ZS","Data sources : The Institute of Statistics of Albania; http://www.instat.gov.al/en/home.aspx. Data for year 2001-2014 is actual data from original source. Data for 2000 is extrapolation.",
